Title,Link,MPN,SKU,Base,Wattage,Life Hours,Lumens,Brand,Warranty,Features,Price
4' LED Troffer Retrofit Kit - 44W - Dimmable - 4850 Lumens - Sylvania,https://www.lightup.com/4ft-led-troffer-retrofit-kit-44w-dimmable-4850-lumens-sylvania.html,75234|75236|75237,LEDRFTF1000051171,Hardwire,44W,"50,000 Hours",4850 Lumens,Sylvania,5 Year,"Dimmable,",$14.99
2-Pack LED A19 E26 Smart Light Bulbs - 8 Watts - 60W Equiv - 750 Lumens - Capetronix,https://www.lightup.com/2-pack-led-a19-e26-smart-light-bulbs-8w.html,A60-WF08-RGBCW,LEDHASB1000051099,E26,8 W,"50,000 Hours",750 Lumens,Capetronix,1 Year,Instant,$14.99
4' LED Troffer Retrofit Kit - 27W - Dimmable - 3200 Lumens - Sylvania,https://www.lightup.com/4ft-led-troffer-retrofit-kit-27w-dimmable-3200-lumens-sylvania.html,75427,LEDRFTF1000051214,Hardwire,27 W,"50,000 Hours",4850 Lumens,Sylvania,5 Year,"On,",$2.99
PAR38 LED Bulb - 12W - 100W Equiv - Dimmable - 1050 Lumens - GE,https://www.lightup.com/par38-led-bulb-12w-100w-equiv-dimmable-1050-lumens-ge.html,GE 92969 - LED12D38W3827/25,LEDPR381000051185,E26 / Medium,12 W,"25,000 Hours",1050 Lumens,GE Lighting,,Long,$2.99
PAR38 LED Bulb - 18W - 120W Equiv - Dimmable - 1700 Lumens - GE,https://www.lightup.com/par38-led-bulb-18w-120w-equiv-dimmable-1700-lumens-ge.html,83811,LEDPR381000051184,E26 / Medium,18 W,"25,000 Hours",1700 Lumens,GE Lighting,,Life,$2.99
PAR38 Narrow Flood LED Bulb - 28W - 130W Equiv - 2400 Lumens - GE,https://www.lightup.com/par38-led-narrow-flood-bulb-28w-130w-equiv-2400-lumens-ge.html,GE 25844 - LED28P38S830/25,LEDPR381000051179,E26 / Medium,28 W,"25,000 Hours",2400 Lumens,GE Lighting,,"Span,",$2.99
PAR30 High Output Narrow Flood LED Bulb - 18W - 75W Equiv - 1800 Lumens - GE,https://www.lightup.com/par30-high-output-narrow-flood-led-bulb-18w-75w-equiv-1800-lumens-ge.html,LED18P30LW83025,LEDPR301000051182,E26 / Medium,18 W,"25,000 Hours",1800 Lumens,GE Lighting,,Mercury,$2.99
PAR30 High Output Spot LED Bulb - 18W - 75W Equiv - 1800 Lumens - GE,https://www.lightup.com/par30-high-output-spot-led-bulb-18w-75w-equiv-1800-lumens-ge.html,LED18P30LW83015,LEDPR301000051181,E26 / Medium,18 W,"25,000 Hours",1800 Lumens,GE Lighting,,"Free,",$2.99
PAR30 LED Bulb - 12W - 75W Equiv - Dimmable - 1000 Lumens - GE,https://www.lightup.com/par30-led-bulb-12w-75w-equiv-dimmable-1000-lumens-ge.html,73583,LEDPR301000051178,E26 / Medium,12 W,"25,000 Hours",1000 Lumens,GE Lighting,,Shatter,$16.99
"LED Corn Cob HID Replacement - 60W - EX39 Mogul Base - 8,800 Lumens - GE",https://www.lightup.com/led-corn-cob-hid-replacement-60w-ex39-mogul-base-8800-lumens-ge.html,GE 43263 LED60/2M175/740,LEDLGHT1000051177,EX39,60 W,"50,000 Hours",8800 Lumens,GE Lighting,5 Year,"Resistant,",$19.99
