Title,Tags,Links
WS243: Getting Started In Real Estate Brokerage with Tyler Chesser,building relationships,https://lifebridgecapital.com/2019/06/21/ws243-getting-started-in-real-estate-brokerage-with-tyler-chesser/
WS224: The Advantages Of Working With A Self-Directed IRA Custodian with Joey Eplite,building relationships,https://lifebridgecapital.com/2019/06/02/ws224-the-advantages-of-working-with-a-self-directed-ira-custodian-with-joey-eplite/
WS184: How To Scale Multifamily Syndication with Vinney Chopra,building relationships,https://lifebridgecapital.com/2019/04/23/ws184-how-to-scale-multifamily-syndication-with-vinney-chopra/
WS233: Building Teams In Real Estate Syndication with Liz Faircloth,building your team,https://lifebridgecapital.com/2019/06/11/ws233-building-teams-in-real-estate-syndication-with-liz-faircloth/
WS211: Angie McDaniel on Property Management Business,building your team,https://lifebridgecapital.com/2019/05/20/ws211-angie-mcdaniel-on-property-management-business/
WS267: The Process of Raising Capital with Jillian Sidoti,capital raising,https://lifebridgecapital.com/2019/07/15/ws267-the-process-of-raising-capital-with-jillian-sidoti/
WS259: Capital Raising For Newbies with Bryan Taylor,capital raising,https://lifebridgecapital.com/2019/07/07/ws259-capital-raising-for-newbies-with-bryan-taylor/
"WS252: Paying Real Estate Capital Raisers with Jillian Sidoti, Esq.",capital raising,https://lifebridgecapital.com/2019/06/30/ws252-paying-real-estate-capital-raisers-with-jillian-sidoti-esq/
WS116: How Partnering with Utility Providers Can Add to Your Bottom Line in Real Estate Syndication with Kevin Gardner,capital raising,https://lifebridgecapital.com/2019/02/14/ws116-how-partnering-with-utility-providers-can-add-to-your-bottom-line-in-real-estate-syndication-with-kevin-gardner/
WS112: How to Raise Capital in Real Estate Syndication in David Thompson,capital raising,https://lifebridgecapital.com/2019/02/10/ws112-how-to-raise-capital-in-real-estate-syndication-in-david-thompson/
WS108: Strategies for Scaling Your Real Estate Business Profitably with Greg Dickerson,capital raising,https://lifebridgecapital.com/2019/02/06/ws108-strategies-for-scaling-your-real-estate-business-profitably-with-greg-dickerson/
WS76: How to use your Self Directed IRA in Real Estate Syndication with Chris Tanner,capital raising,https://lifebridgecapital.com/2019/01/05/ws76-how-to-use-your-self-directed-ira-in-real-estate-syndication-with-chris-tanner/
WS45: How to Correctly Syndicate a Deal via Smart Negotiations and Thorough Due Diligence with Jason Yarusi,capital raising,https://lifebridgecapital.com/2018/12/05/ws45-how-to-correctly-syndicate-a-deal-via-smart-negotiations-and-thorough-due-diligence/
WS44: How Focused Capital Raising and Wise Partnerships Can Help You Find Success in Real Estate Syndication with Todd Dexheimer,capital raising,https://lifebridgecapital.com/2018/12/04/ws44-how-focused-capital-raising-and-wise-partnerships-can-help-you-find-success-in-real-estate-syndication/
"WS39: How to Build and Grow Relationships with Sponsors, Investors and Contractors in Real Estate Syndication with John Rubino",capital raising,https://lifebridgecapital.com/2018/11/29/ws39-how-to-build-and-grow-relationships-with-sponsors-investors-and-contractors-in-real-estate-syndication/
WS258: Caleb Bryant on Why Caring For Investors Matters,caring for investors,https://lifebridgecapital.com/2019/07/06/ws258-caleb-bryant-on-why-caring-for-investors-matters/
WS203: Treat Your Investor Like Mom with Alina Trigub,caring for investors,https://lifebridgecapital.com/2019/05/12/ws203-treat-your-investor-like-mom-with-alina-trigub/
WS247: Structuring Real Estate Deals with Brian Burke,closing deals,https://lifebridgecapital.com/2019/06/25/ws247-structuring-real-estate-deals-with-brian-burke/
WS230: How To Raise Capital And Do Asset Management with Ben Suttles,closing deals,https://lifebridgecapital.com/2019/06/08/ws230-how-to-raise-capital-and-do-asset-management-with-ben-suttles/
WS227: Jules McKenzie on Pitching Like A Pro And Closing More Real Estate Deals,closing deals,https://lifebridgecapital.com/2019/06/05/ws227-jules-mckenzie-on-pitching-like-a-pro-and-closing-more-real-estate-deals/
WS222: Closing The 309-Unit Deal In El Paso with Kenny Wolfe,closing deals,https://lifebridgecapital.com/2019/05/31/ws222-closing-the-309-unit-deal-in-el-paso-with-kenny-wolfe/
Top 10 Rookie Real Estate Syndication Mistakes,commercial real estate,https://lifebridgecapital.com/2020/07/29/blog-top-10-rookie-real-estate-syndication-mistakes/
WS234: Brian Murray on How To Grow Your Multifamily Real Estate Business,commercial real estate,https://lifebridgecapital.com/2019/06/12/ws234-brian-murray-on-how-to-grow-your-multifamily-real-estate-business/
WS233: Building Teams In Real Estate Syndication with Liz Faircloth,commercial real estate,https://lifebridgecapital.com/2019/06/11/ws233-building-teams-in-real-estate-syndication-with-liz-faircloth/
WS174: The Hidden Gems In Mobile Home Parks with John Jacobus,commercial real estate,https://lifebridgecapital.com/2019/04/13/ws174-the-hidden-gems-in-mobile-home-parks-with-john-jacobus/
WS173: Sean Katona on Adding Value To Commercial Real Estate,commercial real estate,https://lifebridgecapital.com/2019/04/12/ws173-sean-katona-on-adding-value-to-commercial-real-estate/
WS253: Managing Real Estate Assets And Construction Simultaneously with Ashley Wilson,construction management,https://lifebridgecapital.com/2019/07/01/ws253-managing-real-estate-assets-and-construction-simultaneously-with-ashley-wilson/
WS40: How to Streamline Your Acquisition Process in Real Estate Syndication with Ben Lapidus,construction management,https://lifebridgecapital.com/2018/11/30/ws40-how-to-streamline-your-acquisition-process-in-real-estate-syndication/
WS226: Wealth-Building Rules For Real Estate Investors with Christopher Calandra,investing,https://lifebridgecapital.com/2019/06/04/ws226-wealth-building-rules-for-real-estate-investors-with-christopher-calandra/
WS213: Data Analytics In Real Estate with Raj Tekchandani,investing,https://lifebridgecapital.com/2019/05/22/ws213-data-analytics-in-real-estate-with-raj-tekchandani/
WS41: How to Raise Capital and Mitigate Risk for Your First Syndication Deal with Elisa Zhang,investing,https://lifebridgecapital.com/2018/12/01/ws41-how-to-raise-capital-and-mitigate-risk-for-your-first-syndication-deal/
WS37: How to Discover Value Add Opportunities in a Hot Real Estate Market with Paul Moore,investing,https://lifebridgecapital.com/2018/11/27/ws37-how-to-discover-value-add-opportunities-in-a-hot-real-estate-market/
WS229: Getting Started With Syndications And Strategic Partnerships with Jeff Greenberg,investment,https://lifebridgecapital.com/2019/06/07/ws229-getting-started-with-syndications-and-strategic-partnerships-with-jeff-greenberg/
WS228: Pursuing A Reg A Exemption The Right Way with Mark Mascia,investment,https://lifebridgecapital.com/2019/06/06/ws228-pursuing-a-reg-a-exemption-the-right-way-with-mark-mascia/
WS190: The Importance Of Underwriting In Syndication with Vinney Chopra,investment,https://lifebridgecapital.com/2019/04/29/ws190-the-importance-of-underwriting-in-syndication-with-vinney-chopra/
WS179: Understanding Blind Syndication with Chad Gallagher,investment,https://lifebridgecapital.com/2019/04/18/ws179-understanding-blind-syndication-with-chad-gallagher/
WS224: The Advantages Of Working With A Self-Directed IRA Custodian with Joey Eplite,IRA,https://lifebridgecapital.com/2019/06/02/ws224-the-advantages-of-working-with-a-self-directed-ira-custodian-with-joey-eplite/
WS182: Bernard Reisz: What You Need To Know About IRA,IRA,https://lifebridgecapital.com/2019/04/21/ws182-bernard-reisz-what-you-need-to-know-about-ira/
WS181: Breaking Down The Qualified Retirement Plan with Bernard Reisz,IRA,https://lifebridgecapital.com/2019/04/20/ws181-breaking-down-the-qualified-retirement-plan-with-bernard-reisz/
WS268: Scaling Your Syndication Business Through Marketing with John Casmon,marketing,https://lifebridgecapital.com/2019/07/16/ws268-scaling-your-syndication-business-through-marketing-with-john-casmon/
WS204: Vinney Chopra on Property Takeover And Management,marketing,https://lifebridgecapital.com/2019/05/13/ws204-vinney-chopra-on-property-takeover-and-management/
WS104: Expert Networking Tips for Finding and Building Relationships with Potential Investors with Jon Simcoe,marketing,https://lifebridgecapital.com/2019/02/02/ws104-expert-networking-tips-for-finding-and-building-relationships-with-potential-investors-with-jon-simcoe/
WS281: Transitioning From Turnkey To Mobile Home Parks with Ekaterina Stepanova,Mobile Home Parks,https://lifebridgecapital.com/2019/07/29/ws281-transitioning-from-turnkey-to-mobile-home-parks-with-ekaterina-stepanova/
WS256: Mobile Home Park Investing: The Real Deal with Jefferson Lilly,Mobile Home Parks,https://lifebridgecapital.com/2019/07/04/ws256-mobile-home-park-investing-the-real-deal-with-jefferson-lilly/
WS174: The Hidden Gems In Mobile Home Parks with John Jacobus,Mobile Home Parks,https://lifebridgecapital.com/2019/04/13/ws174-the-hidden-gems-in-mobile-home-parks-with-john-jacobus/
WS170: Paul Moore on Expanding The Multifamily Vision With Self-Storage And Mobile Home Parks,Mobile Home Parks,https://lifebridgecapital.com/2019/04/09/ws170-paul-moore-on-expanding-the-multifamily-vision-with-self-storage-and-mobile-home-parks/
WS890: Successful Asset Classes In The Current Market with Jerome Maldonado,Multifamily,https://lifebridgecapital.com/2021/03/29/ws890-successful-asset-classes-in-the-current-market-with-jerome-maldonado/
"WS889: How To Avoid A $1,000,000 Mistake with Hugh Odom",Multifamily,https://lifebridgecapital.com/2021/03/28/ws889-how-to-avoid-a-1000000-mistake-with-hugh-odom/
WS888: Value-Based On BRRRR VS Cap Rate with John Stoeber,Multifamily,https://lifebridgecapital.com/2021/03/27/ws888-value-based-on-brrrr-vs-cap-rate-with-john-stoeber/
WS887: Slow And Steady Still Wins The Race with Nicole Pendergrass,Multifamily,https://lifebridgecapital.com/2021/03/26/ws887-slow-and-steady-still-wins-the-race-with-nicole-pendergrass/
WS287: Increase Your NOI by Converting Units to Short Term Rentals with Michael Sjogren,Multifamily,https://lifebridgecapital.com/2019/08/04/ws287-increase-your-noi-by-converting-units-to-short-term-rentals-with-michael-sjogren/
WS271: Investment Strategies To Survive An Economic Downturn with Vinney Chopra,Multifamily,https://lifebridgecapital.com/2019/07/19/ws271-investment-strategies-to-survive-an-economic-downturn-with-vinney-chopra/
WS270: Owning a Construction Company Creates More Value with Abraham Ng’hwani,Multifamily,https://lifebridgecapital.com/2019/07/18/ws270-owning-a-construction-company-creates-more-value-with-abraham-nghwani/
WS269: The Impacts of Your First Deal with Kyle Mitchell,Multifamily,https://lifebridgecapital.com/2019/07/17/ws269-the-impacts-of-your-first-deal-with-kyle-mitchell/
WS260: Structuring Deals To Get The Best Return On Investment with Jeff Greenberg,Multifamily,https://lifebridgecapital.com/2019/07/08/ws260-structuring-deals-to-get-the-best-return-on-investment-with-jeff-greenberg/
WS259: Capital Raising For Newbies with Bryan Taylor,Multifamily,https://lifebridgecapital.com/2019/07/07/ws259-capital-raising-for-newbies-with-bryan-taylor/
WS257: Why Ground Up Development is the Best Investment with Sam Bates,Multifamily,https://lifebridgecapital.com/2019/07/05/ws257-why-ground-up-development-is-the-best-investment-with-sam-bates/
WS256: Mobile Home Park Investing: The Real Deal with Jefferson Lilly,Multifamily,https://lifebridgecapital.com/2019/07/04/ws256-mobile-home-park-investing-the-real-deal-with-jefferson-lilly/
WS249: Managing Real Estate Paperwork Successfully with Krista Testani,Multifamily,https://lifebridgecapital.com/2019/06/27/ws249-managing-real-estate-paperwork-successfully-with-krista-testani/
WS245: Multifamily Syndication with Venkat Avasarala,Multifamily,https://lifebridgecapital.com/2019/06/23/ws245-multifamily-syndication-with-venkat-avasarala/
WS244: Passive Investing In Real Estate with Kay Kay Singh,Multifamily,https://lifebridgecapital.com/2019/06/22/ws244-passive-investing-in-real-estate-with-kay-kay-singh/
WS243: Getting Started In Real Estate Brokerage with Tyler Chesser,Multifamily,https://lifebridgecapital.com/2019/06/21/ws243-getting-started-in-real-estate-brokerage-with-tyler-chesser/
WS213: Data Analytics In Real Estate with Raj Tekchandani,Multifamily,https://lifebridgecapital.com/2019/05/22/ws213-data-analytics-in-real-estate-with-raj-tekchandani/
WS202: Ben Leybovich and Sam Grooms on The Advantages Of A Partnership In Real Estate Business,Multifamily,https://lifebridgecapital.com/2019/05/11/ws202-ben-leybovich-and-sam-grooms-on-the-advantages-of-a-partnership-in-real-estate-business/
WS199: Financial Freedom Through Real Estate Investing with Rodney Miller,Multifamily,https://lifebridgecapital.com/2019/05/08/ws199-financial-freedom-through-real-estate-investing-with-rodney-miller/
WS197: Loan Qualifications: How The Whole Process Works with Vinney Chopra,Multifamily,https://lifebridgecapital.com/2019/05/06/ws197-loan-qualifications-how-the-whole-process-works-with-vinney-chopra/
WS172: Real Estate Syndication with Kyle Jones,Multifamily,https://lifebridgecapital.com/2019/04/11/ws172-real-estate-syndication-with-kyle-jones/
WS258: Caleb Bryant on Why Caring For Investors Matters,multifamily deals,https://lifebridgecapital.com/2019/07/06/ws258-caleb-bryant-on-why-caring-for-investors-matters/
WS255: How To Effectively Manage Properties And Assets with Dylan Marma,multifamily deals,https://lifebridgecapital.com/2019/07/03/how-to-effectively-manage-properties-and-assets-with-dylan-marma/
WS230: How To Raise Capital And Do Asset Management with Ben Suttles,multifamily deals,https://lifebridgecapital.com/2019/06/08/ws230-how-to-raise-capital-and-do-asset-management-with-ben-suttles/
WS253: Managing Real Estate Assets And Construction Simultaneously with Ashley Wilson,Multifamily Investment,https://lifebridgecapital.com/2019/07/01/ws253-managing-real-estate-assets-and-construction-simultaneously-with-ashley-wilson/
WS251: Mastering Land And Property Acquisition with Vinney Chopra,Multifamily Investment,https://lifebridgecapital.com/2019/06/29/ws251-mastering-land-and-property-acquisition-with-vinney-chopra/
WS248: Mastering Self-Discipline In Real Estate with Jerome Myers,Multifamily Investment,https://lifebridgecapital.com/2019/06/26/ws248-mastering-self-discipline-in-real-estate-with-jerome-myers/
WS246: Immersing In The Language Of Real Estate with Dan Handford,Multifamily Investment,https://lifebridgecapital.com/2019/06/24/ws246-immersing-in-the-language-of-real-estate-with-dan-handford/
WS236: The Road To Becoming A Syndicator with Krista Testani,Multifamily Investment,https://lifebridgecapital.com/2019/06/14/ws236-the-road-to-becoming-a-syndicator-with-krista-testani/
WS170: Paul Moore on Expanding The Multifamily Vision With Self-Storage And Mobile Home Parks,Multifamily Investment,https://lifebridgecapital.com/2019/04/09/ws170-paul-moore-on-expanding-the-multifamily-vision-with-self-storage-and-mobile-home-parks/
WS246: Immersing In The Language Of Real Estate with Dan Handford,Multifamily Investor Nation,https://lifebridgecapital.com/2019/06/24/ws246-immersing-in-the-language-of-real-estate-with-dan-handford/
WS239: Raising Private Capital For Syndication with Dan Handford,Multifamily Investor Nation,https://lifebridgecapital.com/2019/06/17/ws239-raising-private-capital-for-syndication-with-dan-handford/
WS225: Organizing Successful Meetups with Dan Handford,Multifamily Investor Nation,https://lifebridgecapital.com/2019/06/03/ws225-organizing-successful-meetups-with-dan-handford/
WS890: Successful Asset Classes In The Current Market with Jerome Maldonado,multifamily syndication,https://lifebridgecapital.com/2021/03/29/ws890-successful-asset-classes-in-the-current-market-with-jerome-maldonado/
"WS889: How To Avoid A $1,000,000 Mistake with Hugh Odom",multifamily syndication,https://lifebridgecapital.com/2021/03/28/ws889-how-to-avoid-a-1000000-mistake-with-hugh-odom/
WS888: Value-Based On BRRRR VS Cap Rate with John Stoeber,multifamily syndication,https://lifebridgecapital.com/2021/03/27/ws888-value-based-on-brrrr-vs-cap-rate-with-john-stoeber/
WS887: Slow And Steady Still Wins The Race with Nicole Pendergrass,multifamily syndication,https://lifebridgecapital.com/2021/03/26/ws887-slow-and-steady-still-wins-the-race-with-nicole-pendergrass/
WS286: Dmitriy Fomichenko on Safeguarding Your Retirement Fund Through Self-Directed Solo 401(k),multifamily syndication,https://lifebridgecapital.com/2019/08/03/ws286-dmitriy-fomichenko-on-safeguarding-your-retirement-fund-through-self-directed-solo-401k/
WS275: $200k Salary To Successful Syndicator with Zach Haptonstall,multifamily syndication,https://lifebridgecapital.com/2019/07/23/ws275-200k-salary-to-successful-syndicator-with-zach-haptonstall/
WS261: Improving Your Economic Outlook In Real Estate Investment with Ivan Barratt,multifamily syndication,https://lifebridgecapital.com/2019/07/09/ws261-improving-your-economic-outlook-in-real-estate-investment-with-ivan-barratt/
WS245: Multifamily Syndication with Venkat Avasarala,multifamily syndication,https://lifebridgecapital.com/2019/06/23/ws245-multifamily-syndication-with-venkat-avasarala/
WS232: Earning Passive Income Through Multifamily Syndications with Dan Handford,multifamily syndication,https://lifebridgecapital.com/2019/06/10/ws232-earning-passive-income-through-multifamily-syndications-with-dan-handford/
WS184: How To Scale Multifamily Syndication with Vinney Chopra,multifamily syndication,https://lifebridgecapital.com/2019/04/23/ws184-how-to-scale-multifamily-syndication-with-vinney-chopra/
