listing_ID,status_Text,Address,Bedrooms,Bathrooms,Lat,Long,LivingArea,HomeType,BrokerName,BrokerPhone,Detail_URL,Image,Price
2124569742,House for sale,"3668 Route 20, Nassau, NY 12123",5,2.0,42.521591,-73.63221,4600,SINGLE_FAMILY,Listing by: Foundation First Realty Group,518-892-3926,https://www.zillow.com/homedetails/3668-Route-20-Nassau-NY-12123/2124569742_zpid/,https://photos.zillowstatic.com/fp/a4dacb7e86f4f719759d4552acd05f1a-p_e.jpg,"$569,950"
114158552,Condo for sale,"303 E 57th St APT 6D, New York, NY 10022",2,2.0,40.759367,-73.96505,1400,CONDO,Listing by: Corcoran,347-885-3535,https://www.zillow.com/homedetails/303-E-57th-St-APT-6D-New-York-NY-10022/114158552_zpid/,https://photos.zillowstatic.com/fp/c7f2598d6b28b91c11cf80a3a4da5460-p_e.jpg,"$375,000"
30323524,House for sale,"21 Maple St, Angola, NY 14006",3,1.0,42.641697,-79.026321,1188,SINGLE_FAMILY,Listing by: Keller WilliamsRealtyLancaster,716-324-2300,https://www.zillow.com/homedetails/21-Maple-St-Angola-NY-14006/30323524_zpid/,https://photos.zillowstatic.com/fp/0d5e542289f10c70d0dff581c1c316d3-p_e.jpg,"$124,900"
32507427,House for sale,"4755 E Bates Rd, Trumansburg, NY 14886",3,2.0,42.562099,-76.651665,1494,SINGLE_FAMILY,Listing by: Warren Real Estate Downtown Of,607-277-2660,https://www.zillow.com/homedetails/4755-E-Bates-Rd-Trumansburg-NY-14886/32507427_zpid/,https://photos.zillowstatic.com/fp/b555835dbaa30baf9852710b59007c25-p_e.jpg,"$219,000"
32257059,House for sale,"51 Maxon Rd, Petersburgh, NY 12138",4,3.0,42.742141,-73.342651,2287,SINGLE_FAMILY,Listing by: Venture Realty Partners,518-833-6636,https://www.zillow.com/homedetails/51-Maxon-Rd-Petersburgh-NY-12138/32257059_zpid/,https://photos.zillowstatic.com/fp/978b72c5b39605260b61f5694d60d291-p_e.jpg,"$240,000"
32524756,House for sale,"177 Amelia Ln, Middleburgh, NY 12122",4,3.0,42.611785,-74.329575,3000,SINGLE_FAMILY,"Listing by: Rose Royal Real Estate, LLC",518-986-2361,https://www.zillow.com/homedetails/177-Amelia-Ln-Middleburgh-NY-12122/32524756_zpid/,https://photos.zillowstatic.com/fp/de49386f66c910ff8ce697e13374fae1-p_e.jpg,"$189,000"
30113944,House for sale,"399 Noxon Rd, Poughkeepsie, NY 12603",3,3.0,41.65557,-73.846168,2256,SINGLE_FAMILY,Listing by: Greenan Properties,845-447-2525,https://www.zillow.com/homedetails/399-Noxon-Rd-Poughkeepsie-NY-12603/30113944_zpid/,https://photos.zillowstatic.com/fp/c50ca4977401f84d33916ae9189b4797-p_e.jpg,"$399,922"
2078079062,Condo for sale,"100 W 57th St APT 5R, New York, NY 10019",1,1.0,40.764099,-73.977798,900,CONDO,Listing by: Pergolotti Realty,917-415-6609,https://www.zillow.com/homedetails/100-W-57th-St-APT-5R-New-York-NY-10019/2078079062_zpid/,https://photos.zillowstatic.com/fp/5f3b6091f47a36edac88ad461d7b5518-p_e.jpg,"$169,000"
97536752,Condo for sale,"462 W 58th St APT 3D, New York, NY 10019",2,2.0,40.769226,-73.987076,1189,CONDO,Listing by: Keller Williams NYC,N/A,https://www.zillow.com/homedetails/462-W-58th-St-APT-3D-New-York-NY-10019/97536752_zpid/,https://photos.zillowstatic.com/fp/8be77a7110397466a246970f543881f2-p_e.jpg,"$5,500"
32442165,House for sale,"3299 Shaw Hill Rd, Rock City Falls, NY 12863",4,3.0,43.070086,-73.941931,3851,SINGLE_FAMILY,Listing by: LiftWithFreedom.com,N/A,https://www.zillow.com/homedetails/3299-Shaw-Hill-Rd-Rock-City-Falls-NY-12863/32442165_zpid/,https://photos.zillowstatic.com/fp/26636e16293068ae2c00a8cbc3d843f0-p_e.jpg,"$385,000"
